,Company,Ticker,Sector,Industry,No.Yrs,CCCSeq,DRIP DR,Fees SP,Price,Div.Yield,Current Dividend,Payouts/Year,Annualized,Qtly Sch,Previous Payout,Last Increased on:Ex-Div,Last Increased on:Pay,MR%Inc.,DGR 1-yr,DGR 3-yr,DGR 5-yr,DGR 10-yr,5/10 A/D*,Past 5yr DEG,&=MultiIncThisYrNotes,EPS %Payout,TTM P/E,FYE Month,TTM EPS,PEG,TTM P/Sales,MRQ P/Book,TTM ROE,TTM Growth,NY Growth,Past 5yr Growth,Est-5yr Growth,MktCap($Mil),Inside Own.,Debt/Equity,TweedFactor,Chowder Rule,+/-% vs.Graham,Estimated Div:2018,2019,2020,2021,2022,Est. Payback$,Est. Payback%,5-yr Beta,52-wk Low,52-wk High,50-day MMA,200-day MMA,OTC,StreakBegan,RecessionsSurvived,TTM ROA,1/3 A/D,updated,P/E
5,ABM Industries Inc.,ABM,Industrials,Commercial Services & Supplies,54,17,Y,N,36.74,2.068590092542188,0.19,4,0.76,B05,0.185,2021-01-06 00:00:00,2021-02-01 00:00:00,2.7027027027027053,2.77777777777779,2.8586773986917446,2.9462068239258565,3.200973965392584,0.9204094927915224,,,,,10,-0.02,,0.42,1.71,0,-99.8,7.66,-68.4,16,2530,1.3,0.48,,5.014796916468045,,0.7474,0.80465084,0.885115924,0.9736275164000001,1.0709902680400003,4.48178454844,12.198651465541644,1.31,85.64,-14.46,-7.109999999999999,0.77,,1968,6,0,0.971700332135771,False,0
6,Archer Daniels Midland,ADM,Consumer Staples,Food Products,46,53,N,Y,50.01,2.959408118376325,0.37,4,1.48,C13,0.36,2021-02-08 00:00:00,2021-03-02 00:00:00,2.7777777777777803,2.857142857142869,4.0041911525952045,5.154749679728043,9.149342561789698,0.563401101763942,,,51.03448275862069,17.244827586206895,6,2.9,3.91,0.45,1.48,8.3,-19.900000000000002,5.71,-6,4.5,28370,0.3,0.42,-9.130669788102526,8.114157798104369,6.50476218374505,1.4544,1.5374462399999997,1.6066313207999996,1.6789297302359996,1.7544815680966195,8.031888859132618,16.06056560514421,0.86,72.92999999999999,-7.37,-1.03,11.95,,1976,4,3.5000000000000004,0.713538077544348,False,0
7,Automatic Data Proc.,ADP,Information Technology,IT Services,45,58,N,Y,165.12,2.2529069767441863,0.93,4,3.72,A01,0.91,2020-12-10 00:00:00,2021-01-01 00:00:00,2.1978021978021998,15.189873417721511,16.87514935933376,13.179836563100178,11.847166164164701,1.1124885378046387,0.9089542457310469,,64.69565217391305,28.716521739130435,6,5.75,2.62,4.88,12.31,44.4,8.5,11.98,14.499999999999998,11.07,71090,0.1,0.34,-13.283778199286072,15.432743539844363,296.37265440418605,3.9494,4.34434,4.778774,5.256651400000001,5.782316540000002,24.111481940000004,14.602399430717055,0.71,60.14000000000001,-9.43,-3.66,9.17,,1976,4,5.7,0.9001326799706153,False,0
8,AFLAC Inc.,AFL,Financials,Insurance,39,69,N,N,45.18,2.9216467463479416,0.33,4,1.32,C01,0.28,2021-02-16 00:00:00,2021-03-01 00:00:00,17.85714285714285,3.703703703703698,8.78430881110801,7.230464255611713,6.987814664225356,1.0347246747439682,1.12976003993933,,20.625,7.059374999999999,12,6.4,1.18,1.48,1.01,15.7,16.7,-1.24,6.4,6.12,32320,0.1,0.24,3.092736001959654,10.152111001959653,-43.707238475981654,1.2320000000000002,1.2443200000000003,1.3204723840000003,1.4012852939008003,1.487043953887529,6.68512163178833,14.796639291253497,0.98,95.84,-15.36,0.66,16.89,,1983,3,3,0.42162722000622954,False,0
9,Albemarle Corp.,ALB,Materials,Chemicals,26,126,N,N,162.66,0.9467601131193902,0.385,4,1.54,A02,0.3675,2020-03-12 00:00:00,2020-04-01 00:00:00,4.761904761904766,5.913043478260871,6.370759115617042,5.8645029860942,10.518995103497808,0.5575155163009932,0.40725715181209726,,43.01675977653631,45.435754189944134,12,3.58,3.1,5.55,4.29,9.6,-18.3,2.4,14.399999999999999,15,17990,0.2,0.86,-38.624491090730544,6.8112630992135905,194.33117060350034,1.537725,1.5746304,1.73209344,1.9053027840000003,2.0958330624000006,8.8455846864,5.4380823105865,1.62,232.71,-13.639999999999999,7.090000000000001,61.19,,1995,2,3.8,0.9281536738323469,False,0
10,A.O. Smith Corp.,AOS,Industrials,Building Products,27,123,N,N,54.3,1.9152854511970536,0.26,4,1.04,B15,0.24,2020-10-29 00:00:00,2020-11-16 00:00:00,8.333333333333341,8.888888888888879,20.507113208761485,20.861643567402655,21.92400798743752,0.9515433300040941,1.4691298286903278,,53.608247422680414,27.989690721649485,12,1.94,3.67,3.28,5.26,18.9,-14.000000000000002,18.529999999999998,14.2,8,9230,0.4,0.07,-5.212761703049775,22.77692901859971,155.8000722750973,0.9898,1.08878,1.1758824,1.2699529920000001,1.3715492313600002,5.895964623360001,10.858130061436466,1.04,60.629999999999995,-10.17,-3.25,7.03,,1994,2,10.5,0.4334539336863454,False,0
11,Air Products & Chem.,APD,Materials,Chemicals,39,70,Y,Y,266.76,2.249212775528565,1.5,4,6,B14,1.34,2021-03-31 00:00:00,2021-05-10 00:00:00,11.94029850746268,13.100436681222693,11.768292630308741,10.112330960409999,10.434012762539213,0.9691698860783327,0.6832656054331081,,70.17543859649122,31.199999999999996,9,8.55,3.13,6.86,5.06,16.2,8.4,13.600000000000001,14.799999999999999,10.31,60770,0.3,0.65,-18.83845626406143,12.361543735938564,164.88739746037996,5.61512,6.176632000000001,6.794295200000001,7.4737247200000025,8.221097192000004,34.28086911200001,12.8508281271555,0.78,59.330000000000005,-18.64,-2.9899999999999998,-1.31,,1983,3,8.5,1.113197733329903,False,0
12,Arrow Financial Corp.,AROW,Financials,Banks,28,107,N,N,29.4,3.537414965986395,0.26,4,1.04,C15,0.252427,2020-09-16 00:00:00,2020-09-25 00:00:00,3.000075269285772,3.0000000000000027,4.355418593478255,3.660256846494514,3.306881790083005,1.106860504500416,0.39785400505375157,Adj Stock dividend,42.27642276422765,11.951219512195122,12,2.46,1.75,4.04,1.41,12.1,2.9000000000000004,2.71,9.2,6.9,452.34,3.2,0.08,-4.753547699714213,7.197671812480909,-13.458501894704057,1.0467827184466016,1.0751505301165045,1.1493359166945434,1.2286400949464669,1.313416261497773,5.8133255217018895,19.773216060210512,0.66,45.69,-15.950000000000001,-4.06,4.93,,1994,2,1.0999999999999999,0.6887971696893066,False,0
13,Artesian Resources,ARTNA,Utilities,Water Utilities,28,108,N,N,40.88,2.515655577299413,0.2571,4,1.0284,B22,0.2496,2020-11-06 00:00:00,2020-11-20 00:00:00,3.004807692307695,2.256785605367484,2.7639151791249983,2.8698759736303314,2.9394280969973208,0.9763382123760611,0.33763246748592135,,57.13333333333333,22.711111111111112,12,1.8,5.48,4.14,2.21,10.299999999999999,1.7999999999999998,,8.5,4,362.14,4.3999999999999995,1.01,-17.325579560181367,5.385531550929745,49.35647968766324,1.0240062,1.054726386,1.09691544144,1.1407920590976,1.186423741461504,5.5028638279991045,13.461017191778629,0.07,36.22,1.54,7.33,13.28,,1993,2,2.9000000000000004,0.8165176784050002,False,0
14,Atmos Energy,ATO,Utilities,Gas Utilities,37,74,N,N,89,2.8089887640449436,0.625,4,2.5,C11,0.575,2020-11-27 00:00:00,2020-12-14 00:00:00,8.695652173913052,9.302325581395365,8.595192098967752,8.126998505909366,5.7388439182276985,1.416138619852758,0.7890289811562492,,51.124744376278116,18.200408997955012,9,4.89,2.68,3.97,1.62,9.4,12.4,6.92,10.299999999999999,6.77,11210,0.6,0.67,-7.264421728000702,10.93598726995431,14.473990401870807,2.5850000000000004,2.763882,2.9509968114000005,3.150779295531781,3.364087053839283,14.814745160771064,16.64578107951805,0.35,14.219999999999999,-26.490000000000002,-5.59,-9.31,,1985,3,4.1000000000000005,1.082270817718261,False,0
